transaction_text,category
Sh3ll P3trol Pump Mumbai 4088,Fuel
Card Annual Fee Hyderabad 1815,Banking Charges
BookMyShow Mumbai 748,Entertainment
N@ture's B@sket B@ng@lore 256,Groceries
Amazon Kolkata 1180,Shopping
Fortis Bangalore 69,Medical
Vodafone Bill Kolkata 4192,Bills & Recharge
SonyLiv Bangalore 3195,Entertainment
Swiggy Chennai 3385,Food & Drinks
BankServiceChargeHyderabad4402,Banking Charges
DMart Chennai 1522 txn,Groceries
Bank Service Charge Mumbai 339,Banking Charges
Amazon Prime Pune 3373 txn,Entertainment
McDonalds Chennai 854,Food & Drinks
BookMyShowMumbai2618,Entertainment
DMart Hyderabad 3528,Groceries
Myntra Hyderabad 4431 txn,Shopping
RedBus Hyderabad 4990,Travel
Apollo Pharmacy Mumbai 4958 txn,Medical
PharmEasy Kolkata 4113,Medical
Apollo Pharmacy Pun3 3220,Medical
Bharat Petroleum Kolkata 4723,Fuel
Late Payment Fee Delhi 3399,Banking Charges
Max Hospital Pune 843,Medical
IndiGo Chennai 3264,Travel
Hotstar Kolkata 3807,Entertainment
Microsoft 365 Hyder@b@d 4885,Online Services
Fortis Delhi 4214,Medical
Reliance Fresh Bangalore 1452,Groceries
Am@zon Prime Hyder@b@d 4608,Entertainment
ID-Water Bill Bangalore 1368,Bills & Recharge
Zomato Kolkata 3408,Food & Drinks
RedBus Delhi 3896,Travel
HP Petrol Pump Bangalore 2619,Fuel
Water Bill Hyderabad 3963,Bills & Recharge
ID-BookMyShow Pune 3191,Entertainment
Bank Service Charge Hyderabad 2961,Banking Charges
BigBasket Pune 1226,Groceries
Airtel Recharge Bangalore 2246,Bills & Recharge
nykaa chennai 4376,Shopping
ATM Withdrawal Fee Hyderabad 387,Banking Charges
SonyLivDelhi1589,Entertainment
Flipkart Kolkata 3496,Shopping
Air India Hyderabad 4294,Travel
Shell Petrol Pump Hyderabad 3350,Fuel
ID-Swiggy Kolkata 4326,Food & Drinks
Netflix Kolkata 1425,Entertainment
Google Cloud Delhi 4033,Online Services
Microsoft 365 Mumbai 4876,Online Services
Am@zon B@ng@lore 554,Shopping
Bank Service Charge Hyderabad 4663,Banking Charges
Electricity Bill Mumbai 4885,Bills & Recharge
Card Annual Fee Hyderabad 1557,Banking Charges
Reliance Fresh Hyderabad 917,Groceries
Vodafone Bill Chennai 3319,Bills & Recharge
ATM Withdrawal Fee Pune 4018,Banking Charges
Burger King Chennai 1084,Food & Drinks
Amazon Prime Hyderabad 1846,Entertainment
ATM Withdrawal Fee Mumbai 2702,Banking Charges
BigBasket Delhi 1261 txn,Groceries
Flipkart Bangalore 349,Shopping
ID-SonyLiv Chennai 1266,Entertainment
ID-Card Annual Fee Bangalore 301,Banking Charges
Netflix Hyderabad 1417,Entertainment
Ajio Mumbai 1234,Shopping
Bharat Petroleum Mumbai 2528,Fuel
Nature'sBasketDelhi557,Groceries
Zomato Chennai 2687,Food & Drinks
DMart Hyderabad 4987,Groceries
Apollo Pharmacy Kolkata 2459,Medical
IndiGo Chennai 2536,Travel
KFC Mumbai 2837,Food & Drinks
Apollo Pharmacy Kolkata 416 txn,Medical
Water Bill Pune 4892,Bills & Recharge
Adobe Bangalore 483 txn,Online Services
Myntra Delhi 4686,Shopping
BigBasket Bangalore 4594,Groceries
